title,bag_of_words
From Dusk Till Dawn (1996),action comedy horror thriller sex offender vampire stripper rape victim  
Fair Game (1995),action female lawyer spy based on novel woman in jeopardy  
Kicking and Screaming (1995),comedy drama female stockinged legs pantyhose slacker beer drinking  
"Misérables, Les (1995)",drama war lawyer boxer jewish paris france  
Bed of Roses (1996),drama romance florist flower widower rooftop  
Big Bully (1996),comedy drama close up of eyes close up of lips close up of mouth bully  
Screamers (1995),action sci-fi thriller stop motion matte painting miniature model shakespearean quotation  
Nico Icon (1995),documentary f rated female musician singer songwriter interview  
"Crossing Guard, The (1995)",action crime drama thriller hit and run obsession forgiveness loneliness  
"Juror, The (1996)",drama thriller female frontal nudity female nudity ankle holster ankle  
"White Balloon, The (Badkonake sefid) (1995)",children drama money little girl shopkeeper snake charmer  
Things to Do in Denver When You're Dead (1995),crime drama romance debt contract killer one last job gangster  
Antonia's Line (Antonia) (1995),comedy drama f rated feminist film character name as title one word title  
Once Upon a Time... When We Were Colored (1995),drama romance segregation rural setting race relations prejudice  
Last Summer in the Hamptons (1995),comedy drama f rated long island actress written and directed by cast member  
Angels and Insects (1995),drama romance aristocrat insect england bare chested male  
White Squall (1996),action adventure drama sail squall storm male bonding  
Dunston Checks In (1996),children comedy brother brother relationship air duct hotel owner concierge  
Black Sheep (1996),comedy clumsiness embarrassment political campaign slapstick comedy  
Nick of Time (1995),action thriller real time conservatism vigilantism character repeats someone else's dialogue  
The Journey of August King (1995),drama slave freedom slave owner law  
Mary Reilly (1996),drama horror thriller housemaid servant laboratory butler  
Vampire in Brooklyn (1995),comedy horror romance vampire yellow eyes african american brooklyn new york city  
Beautiful Girls (1996),comedy drama romance cheating wife skank loves knows no age boundaries bangs  
Broken Arrow (1996),action adventure thriller male male relationship good versus evil evil man villain  
In the Bleak Midwinter (1995),comedy drama christmas actor play british renaissance  
"Hate (Haine, La) (1995)",crime drama police arab gun ghetto  
Shopping (1994),action thriller shopping shop shopping mall stealing  
Heidi Fleiss: Hollywood Madam (1995),documentary narration prostitution  
City Hall (1996),drama thriller mayor dealer drug dealer deputy mayor  
Bottle Rocket (1996),adventure comedy crime romance texas caper dark comedy motel  
Mr. Wrong (1996),comedy date single woman television studio stalker  
Unforgettable (1996),mystery sci-fi thriller self experimentation implanted memory murder memory  
Happy Gilmore (1996),comedy golf golf ball golf course black panties  
"Bridges of Madison County, The (1995)",drama romance bridge love farm photographer  
Nobody Loves Me (Keiner liebt mich) (1994),comedy drama f rated female nudity bath  
Muppet Treasure Island (1996),adventure children comedy musical breaking the fourth wall miss piggy character swedish chef character kermit the frog character  
Catwalk (1996),documentary fashion paris france one word title new york city  
Headless Body in Topless Bar (1995),comedy drama thriller topless bar topless stripper jeans  
Braveheart (1995),action drama war scotland revolt based on true story england  
Taxi Driver (1976),crime drama thriller nan  
Rumble in the Bronx (Hont faan kui) (1995),action adventure comedy crime coors light coast guard helicopter collapsing building  
Before and After (1996),drama mystery based on novel suspect lie boyfriend girlfriend relationship  
Margaret's Museum (1995),drama alliteration in title two word title name in title female name in title  
"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",comedy claim in title rural setting gascony missing person  
Anne Frank Remembered (1995),documentary reference to anne frank 1940s 1930s soldier  
"Young Poisoner's Handbook, The (1995)",crime drama poisoner murderer death by poison murder by poison  
If Lucy Fell (1996),comedy romance love roommate new york city lingerie slip  
"Steal Big, Steal Little (1995)",comedy lawyer estate twin brother brother brother relationship  
Race the Sun (1996),adventure comedy drama high school student teenage boy teenage girl solar car  
"Boys of St. Vincent, The (1992)",drama orphanage boy priest sexual abuse  
Boomerang (1992),comedy romance advertising executive african american protagonist yuppie chauvinist  
Chungking Express (Chung Hing sam lam) (1994),drama mystery romance hong kong spoken inner thoughts drug smuggling expiration date  
"Star Maker, The (Uomo delle stelle, L') (1995)",drama girl nipples breasts unfaithfulness  
Flirting With Disaster (1996),comedy road movie husband wife relationship overalls dysfunctional family  
"NeverEnding Story III, The (1994)",adventure children fantasy sequel by name only cult film playing guitar new kid in school  
"Silences of the Palace, The (Saimt el Qusur) (1994)",drama belly dancing pregnant from rape teenage sexuality pregnant woman vomiting  
Jupiter's Wife (1994),documentary central park american society for the prevention of cruelty to animals park actor  
Pie in the Sky (1996),comedy romance dance traffic jam traffic helicopter  
Angela (1995),drama girl mental illness tween girl sister sister relationship  
Frankie Starlight (1995),drama romance boy ireland writer flashback  
Jade (1995),thriller female full frontal nudity murder of a nude woman panties pulled down breasts  
Nueba Yol (1995),comedy drama new york intentionally misspelled title snowman snowball fight  
Sonic Outlaws (1995),documentary copyright guerilla art media  
Down Periscope (1996),comedy woman in uniform cook electrician sonar operator  
From the Journals of Jean Seberg (1995),documentary marriage fbi black panthers politics  
Man of the Year (1995),documentary magazine centerfold contest date  
"Neon Bible, The (1995)",drama teenage boy 1940s british renaissance georgia  
Target (1995),action drama nan  
Up Close and Personal (1996),drama romance mentor protege relationship journalism television news television broadcast  
"Birdcage, The (1996)",comedy gay father remake of french film based on play transvestism  
Shadows (Cienie) (1988),drama nan  
Gospa (1995),drama priest nun semi religious propaganda  
"Brothers McMullen, The (1995)",comedy irish catholic long island low budget film loss of father  
Bad Boys (1995),action comedy crime drama thriller criminal investigation murder investigation usa united states  
"Amazing Panda Adventure, The (1995)",adventure children boyfriend girlfriend relationship actor shares first name with character no opening credits panda  
"Basketball Diaries, The (1995)",drama addiction childhood friend student athlete basketball  
"Awfully Big Adventure, An (1995)",drama accidental incest overalls speech man wears eyeglasses  
Amateur (1994),crime drama thriller pornographer new york city nun amnesia  
Apollo 13 (1995),adventure drama imax 1970s survival astronaut space mission  
Rob Roy (1995),action drama romance war scotland highlands 18th century flintlock pistol  
"Addiction, The (1995)",drama horror psychotronic film vampire new york drugs  
Batman Forever (1995),action adventure comedy crime bruce wayne character batman character alfred pennyworth character harvey dent character  
Beauty of the Day (Belle de jour) (1967),drama nan  
Beyond Rangoon (1995),adventure drama war burma escape dictatorship doctor  
Blue in the Face (1995),comedy drama bare breasts topless female nudity husband wife relationship cigar smoking  
Canadian Bacon (1995),comedy war international relations the white house united states president  
Casper (1995),adventure children ghost mansion spirit friendly ghost  
Clockers (1995),crime drama mystery italian american jewish american brooklyn bridge reference to rosa parks  
Congo (1995),action adventure mystery sci-fi lost city gorilla diamond talking gorilla  
Crimson Tide (1995),drama thriller war submarine u.s. navy 1990s submarine captain  
Crumb (1994),documentary robert crumb cartoonist underground comic psychotronic film  
Desperado (1995),action romance western contemporary western mexican one against many lone wolf  
Devil in a Blue Dress (1995),crime film-noir mystery thriller african american jazz club private detective missing person  
Die Hard: With a Vengeance (1995),action crime thriller john mcclane character time bomb good versus evil male butt clench  
"Doom Generation, The (1995)",comedy crime drama one female two males threesome pubic hair fellatio threesome  
Feast of July (1995),drama sex scene cobbler the shoemaker shoe 19th century  
First Knight (1995),action drama romance based on legend love triangle romantic drama arthurian legend  
Free Willy 2: The Adventure Home (1995),adventure children drama whale boy oil tanker oil spill  
Hackers (1995),action adventure crime thriller computer virus computer cyberpunk hacker  
Jeffrey (1995),comedy drama gay gay priest new york city gay lead character  
Johnny Mnemonic (1995),action sci-fi thriller implanted memory virtual reality cyberspace erased memory  
Judge Dredd (1995),action crime sci-fi based on comic book cult film judge police  
Jury Duty (1995),comedy jury dog court hotel  
Kids (1995),drama virgin rape swimming in underwear sexual abuse  
Living in Oblivion (1995),comedy neo screwball comedy looking at oneself in a mirror 1990s filmmaking  
Lord of Illusions (1995),horror neo noir private detective magician illusionist  
Love & Human Remains (1993),comedy drama lesbian dominatrix gay sex  
Mad Love (1995),drama romance hitchhiking brief female frontal nudity attempted suicide voyeur  
Mallrats (1995),comedy romance mall jay and silent bob mini dress blonde  
Mighty Morphin Power Rangers: The Movie (1995),action children costume fake mustache warrioress prehistory  
Moonlight and Valentino (1995),drama romance female rear nudity sister sister relationship house painter widow  
Mute Witness (1994),comedy horror thriller mute chase russian mafia cult film  
Nadja (1994),drama vampire female vampire boxing practice morgue  
"Net, The (1995)",action crime thriller computer identity identity theft computer hacker  
Nine Months (1995),comedy romance time for title bad dream close up of eyes close up of lips  
Party Girl (1995),comedy female stockinged legs title directed by female triple f rated library  
"Prophecy, The (1995)",fantasy horror mystery profanity porn magazine pizza black comedy  
Reckless (1995),comedy fantasy christmas female protagonist fictional game show trauma  
Safe (1995),thriller psychiatrist housewife allergy female protagonist  
"Scarlet Letter, The (1995)",drama romance 17th century adultery letter swimming  
The Show (1995),documentary hip hop concert film vulgarity  
Showgirls (1995),drama stripper lap dancing female nudity striptease  
Smoke (1995),comedy drama smoke cigarette smoking death of wife year 1990  
Something to Talk About (1995),comedy drama romance adulterous husband female protagonist reconciliation scandal  
Species (1995),horror sci-fi interspecies sex sex with an alien woman seduction sexual desire  
"Stars Fell on Henrietta, The (1995)",drama child in jeopardy family in jeopardy real life mother and daughter play mother and daughter oil field wildcatter  
Strange Days (1995),action crime drama mystery sci-fi thriller cyberpunk virtual reality murder rape  
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",drama musical romance nan  
"Tie That Binds, The (1995)",thriller man tied up bound and gagged woman tied up held hostage  
Three Wishes (1995),drama fantasy son drifter dog baseball  
Total Eclipse (1995),drama romance poet 1870s pregnant wife absinthe  
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",comedy drag queen on the road new york city domestic violence  
Under Siege 2: Dark Territory (1995),action repeat sequel time bomb good versus evil man kills a woman  
Unstrung Heroes (1995),comedy drama uncle nephew relationship terminal illness based on memoir eccentricity  
Unzipped (1995),documentary fashion one word title fashion runway modeling  
"Walk in the Clouds, A (1995)",drama romance falling in love 1940s post world war ii aftermath of world war ii  
Waterworld (1995),action adventure sci-fi nonconsensual haircut post apocalypse swimming global warming  
White Man's Burden (1995),drama black bourgeois alternate reality alternate history dystopia  
Wild Bill (1995),western black and white to color two gun holster gun holster gun  
"Browning Version, The (1994)",drama army central intelligence agency cricket the sport firework  
Bushwhacked (1995),adventure comedy crime mystery slapstick comedy manhunt fbi agent stupidity  
Burnt by the Sun (Utomlyonnye solntsem) (1994),drama stalinism year 1936 soviet citizen nkvd  
Before the Rain (Pred dozhdot) (1994),drama war endless loop brother brother incest violence monk  
Before Sunrise (1995),drama romance conversations train french tourist  
Billy Madison (1995),comedy crude humor banana peel high school graduation academic decathlon  
"Babysitter, The (1995)",drama thriller seductive minidress sexy teenager sexpot  
Boys on the Side (1995),comedy drama lesbian female protagonist terminal illness domestic violence  
"Cure, The (1995)",drama tickling bare chested male bare chested boy bare chested teenage boy  
Castle Freak (1995),horror castle monster blind girl sex scene  
Circle of Friends (1995),drama romance student pregnancy 1950s ireland  
Clerks (1994),comedy friendship low budget film friend convenience store  
Don Juan DeMarco (1995),comedy drama romance psychiatrist sex scene attempted suicide character name as title  
Disclosure (1994),drama thriller casting couch sexual harassment seduction fellatio  
Dream Man (1995),thriller vision psychic erotica police  
Drop Zone (1994),action thriller terrorist parachute skydiving death of brother  
Destiny Turns on the Radio (1995),comedy heist desert supernatural power las vegas nevada  
Death and the Maiden (1994),drama thriller suspense minimal cast single set production dictatorship  
Dolores Claiborne (1995),drama thriller f rated watching tv woman wears eyeglasses character name as title  
Dumb & Dumber (Dumb and Dumber) (1994),adventure comedy road trip briefcase of money woman wearing a short skirt kidnapping  
Eat Drink Man Woman (Yin shi nan nu) (1994),comedy drama romance chef chinese food cooking daughter  
Exotica (1994),drama cult film public nudity protective male haunted by the past  
Exit to Eden (1994),comedy bondage bdsm spanking los angeles police department  
Ed Wood (1994),comedy drama director film director misfit friend  
French Kiss (1995),action comedy romance breakup plant cutting frenchman blonde  
Forget Paris (1995),comedy romance love basketball city name in title american abroad  
Far From Home: The Adventures of Yellow Dog (1995),adventure children labrador retriever dog survival stray dog  
"Goofy Movie, A (1995)",animation children comedy romance father son relationship older actors younger roles travel singing in a vehicle  
Hideaway (1995),thriller car accident serial killer psychopath suicide  
Fluke (1995),children drama cartoon on tv close up of eye united states usa  
Farinelli: il castrato (1994),drama musical bare chested male male protagonist secret brother castrates brother  
Gordy (1995),children comedy fantasy falling into a swimming pool boy girl farm  
Gumby: The Movie (1995),animation children cult film dog 1950s claymation  
The Glass Shield (1994),crime drama police corruption rookie sheriff murder  
Hoop Dreams (1994),documentary basketball athlete national film registry high school  
Heavenly Creatures (1994),crime drama fantasy life orgy sex with a minor teenage crush  
Houseguest (1994),comedy cartoon on tv suburb debt houseguest  
Immortal Beloved (1994),drama romance based on real person man ludwig van beethoven death  
Heavyweights (Heavy Weights) (1995),children comedy fat camp summer camp mother son relationship father son relationship  
"Hunted, The (1995)",action ninja samurai assassin bullet train  
I.Q. (1994),comedy romance genius mechanic laboratory animal man wears eyeglasses  
Interview with the Vampire: The Vampire Chronicles (1994),drama horror vampire gothic betrayal dark hero  
Jefferson in Paris (1995),drama lafayette character thomas jefferson character period drama marie antoinette character  
"Jerky Boys, The (1995)",comedy gay slur telephone police mafia  
Junior (1994),comedy sci-fi nightmare man wears eyeglasses scientist baby  
Just Cause (1995),mystery thriller child gagged murder florida prison interview  
"Kid in King Arthur's Court, A (1995)",adventure children comedy fantasy romance sword and sandal sword and sorcery kicked in the groin comic violence  
Kiss of Death (1995),crime drama thriller neo noir detective arrest death of wife  
Star Wars: Episode IV - A New Hope (1977),action adventure sci-fi nan  
Little Women (1994),drama american civil war f rated female protagonist reference to william shakespeare  
"Little Princess, A (1995)",children drama india father daughter relationship orphan based on novel  
Ladybird Ladybird (1994),drama children social service violence unfit mother  
"Enfer, L' (1994)",drama jealousy adultery madness hotel  
Like Water for Chocolate (Como agua para chocolate) (1992),drama fantasy romance mexico food marriage love  
Legends of the Fall (1994),drama romance war western f word no opening credits violence sex scene  
Major Payne (1995),comedy drill instructor german shepherd dog character name as title army major  
Little Odessa (1994),crime drama ill mother face slap assassin russian mafia  
My Crazy Life (Mi vida loca) (1993),drama generation x hood hispanic lowrider  
Love Affair (1994),drama romance accident victim disabled person car accident accident  
Losing Isaiah (1995),drama baby custody battle social worker cartoon on tv  
"Madness of King George, The (1994)",comedy drama porphyria king of england restraint self destructiveness  
Mary Shelley's Frankenstein (Frankenstein) (1994),drama horror sci-fi frankenstein's monster remake elizabeth frankenstein character doctor victor frankenstein character  
Man of the House (1995),comedy gangster threat divorcee single mother  
Mixed Nuts (1994),comedy farce christmas veterinarian christmas eve  
Milk Money (1994),comedy romance blonde boy school classroom  
Miracle on 34th Street (1994),drama santa claus girl remake parade  
Miami Rhapsody (1995),comedy mother daughter relationship fiance fiancee relationship dysfunctional marriage wedding  
My Family (1995),drama f rated prison hood marriage  
Murder in the First (1995),drama thriller alcatraz solitary confinement prison rookie  
Nobody's Fool (1994),comedy drama romance grandfather grandson relationship father son relationship small town independent film  
Nell (1994),drama twins f rated character name as title speech  
New Jersey Drive (1995),crime drama police state name in title brutality killing  
New York Cop (Nyû Yôku no koppu) (1993),action crime undercover cop scene before opening credits nypd begins with death  
Beyond Bedlam (1993),drama horror drug suicide hallucination serial killer  
Nemesis 2: Nebula (1995),action sci-fi thriller explosion baby shot to death assassin  
Nina Takes a Lover (1994),comedy romance woman wears only a man's shirt love infidelity sex  
Natural Born Killers (1994),action crime thriller media satire controversy woman on top  
Only You (1994),comedy romance italy sister in law trip soul mate  
Once Were Warriors (1994),crime drama f rated new zealand maori gang  
Outbreak (1995),action drama sci-fi thriller virus epidemic monkey disease  
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),action crime drama thriller hitman girl teenage girl neo noir  
"Perez Family, The (1995)",comedy romance family character name as title political prisoner love immigration  
"Pyromaniac's Love Story, A (1995)",comedy romance nan  
Pulp Fiction (1994),comedy crime drama thriller nonlinear timeline overdose drug overdose bondage  
Panther (1995),drama black panthers black panther party racial prejudice civil rights  
Pushing Hands (Tui shou) (1992),drama tai chi boy chinese restaurant ancestry  
Priest (1994),drama church catholic priest homosexual sexual repression  
Quiz Show (1994),drama based on true story investigation fraud television  
Picture Bride (Bijo photo) (1994),drama romance hawaii f rated japanese in hawaii death  
"Queen Margot (Reine Margot, La) (1994)",drama romance france french history protestant massacre  
"Quick and the Dead, The (1995)",action thriller western female gunfighter arizona street shootout showdown  
Roommates (1995),comedy drama grandfather doctor roommate social worker  
Ready to Wear (Pret-A-Porter) (1994),comedy fashion fashion show journalist fashion industry  
Three Colors: Red (Trois couleurs: Rouge) (1994),drama friendship ex judge eavesdropping judge  
Three Colors: Blue (Trois couleurs: Bleu) (1993),drama liberty first part of trilogy trauma telling a joke  
Three Colors: White (Trzy kolory: Bialy) (1994),comedy drama marriage obsession divorce wealth  
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",drama painter fireworks yellow river teenage girl  
Rent-a-Kid (1995),comedy nightmare orphanage family relationships orphan  
Relative Fear (1994),horror thriller killer child psychological death two word title  
Stuart Saves His Family (1995),comedy public access dysfunctional family avanti hunting  
"Swan Princess, The (1994)",animation children princess sorcerer prince king  
"Secret of Roan Inish, The (1994)",children drama fantasy mystery mermaid ireland based on book f rated  
"Specialist, The (1994)",action drama thriller bare breasts bomb sex scene sex in shower  
Stargate (1994),action adventure sci-fi portal hieroglyph archeology stargate  
"Santa Clause, The (1994)",comedy drama fantasy santa claus character christmas eve word play in title gaining weight  
"Shawshank Redemption, The (1994)",crime drama wrongful imprisonment based on the works of stephen king prison escape from prison  
Shallow Grave (1994),comedy drama thriller stabbed in the neck male full frontal nudity uncircumcised penis penis  
Suture (1993),film-noir thriller amnesia identity swapping film theory twin  
Strawberry and Chocolate (Fresa y chocolate) (1993),drama loyalty communist friendship gay  
Swimming with Sharks (1995),comedy drama black comedy assistant boss movie producer  
"Sum of Us, The (1994)",comedy drama sydney australia australia approving father homosexual son  
National Lampoon's Senior Trip (1995),comedy hare krishna education letter teacher  
To Live (Huozhe) (1994),drama chinese history cultural revolution family saga puppet show  
Tank Girl (1995),action comedy sci-fi desert tank 21st century 2030s  
Tales from the Crypt Presents: Demon Knight (1995),horror thriller loud sex bus gore demon  
Star Trek: Generations (1994),adventure drama sci-fi female empath half human half alien empath human alien hybrid  
Tales from the Hood (1995),action crime horror revenge from beyond the grave killer doll civil rights activist murder cover up  
Tom & Viv (1994),drama character names as title forenames as title period drama 1930s  
Village of the Damned (1995),horror sci-fi alien small town alien life form paranormal phenomena  
Tommy Boy (1995),comedy character name as title nickname as title reference to buddy hackett road movie  
Vanya on 42nd Street (1994),drama saint petersburg russia professor actor anton chekhov  
Underneath (1995),mystery thriller armored car lottery female to male foot in crotch robbery  
"Walking Dead, The (1995)",drama war vietnam black american 1970s african american  
What's Eating Gilbert Grape (1993),drama mentally challenged small town countryside rural setting  
Virtuosity (1995),action sci-fi thriller serial killer android los angeles police department artificial intelligence  
While You Were Sleeping (1995),comedy romance loneliness unconventional romance holiday season single woman  
"War, The (1994)",adventure drama war cardiopulmonary resuscitation coming of age bullying anti war  
Double Happiness (1994),drama chinese chinese canadian title directed by female actress  
Muriel's Wedding (1994),comedy wedding female protagonist dysfunctional family wanting to marry  
"Baby-Sitters Club, The (1995)",children cake blowing out a candle examination club the organization  
Ace Ventura: Pet Detective (1994),comedy stupidity nudity owner dog relationship master dog relationship  
"Adventures of Priscilla, Queen of the Desert, The (1994)",comedy drama bus desert drag queen on the road  
Backbeat (1993),drama musical the beatles rock group hamburg germany 1960s  
Bitter Moon (1992),drama film-noir romance infidelity extramarital affair psycho thriller lesbian kiss  
Bullets Over Broadway (1994),comedy actress playwright play bodyguard  
Clear and Present Danger (1994),action crime drama thriller jack ryan character good versus evil cia drugs  
"Client, The (1994)",drama mystery thriller boy district attorney reference to led zeppelin lawyer client relationship  
"Corrina, Corrina (1994)",comedy drama romance housekeeper repetition in title title based on song single father  
Crooklyn (1994),comedy drama semi autobiographical bully argument birthday  
"Crow, The (1994)",action crime fantasy thriller back from the dead vigilante crime boss gothic  
Cobb (1994),drama ghost writer male full frontal nudity baseball movie based on article  
"Flintstones, The (1994)",children comedy fantasy based on tv series stone age 1000000 b.c. reboot of series  
Forrest Gump (1994),comedy drama romance war vietnam war amputee war hero based on book  
Four Weddings and a Funeral (1994),comedy romance wedding funeral gay cafe  
Higher Learning (1995),drama racism lesbian anger sex scene  
I Like It Like That (1994),comedy drama romance first person title male objectification dance scene tank top  
I Love Trouble (1994),action comedy reporter rivalry whistleblower journalism  
It Could Happen to You (1994),comedy drama romance hot air balloon generosity lottery waitress  
"Jungle Book, The (1994)",adventure children romance jungle treasure tiger elephant  
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",documentary film director as character female film director as character female film director woman director  
"Lion King, The (1994)",adventure animation children drama musical imax africa king lion prince  
Little Buddha (1993),drama reincarnation nonlinear timeline buddhist seattle washington  
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",drama horror mystery thriller freddy krueger elm street famous director as himself alternate reality  
"Mask, The (1994)",action comedy crime fantasy pantyhose alter ego super villain camera shot of feet  
Maverick (1994),adventure comedy western yosemite national park character name as title playing card bow the weapon  
Mrs. Parker and the Vicious Circle (1994),drama female frontal nudity female nudity loveless marriage writer  
Naked Gun 33 1/3: The Final Insult (1994),action comedy neo screwball comedy absurd comedy sexual humor high school  
"Paper, The (1994)",comedy drama newspaper reporter pregnancy one day journalist  
Reality Bites (1994),comedy drama romance generation x depression houston texas texas  
Red Rock West (1992),thriller neo noir hitman texan mistaken identity  
Richie Rich (1994),children comedy villain head of security mansion gardening  
Safe Passage (1994),drama dysfunctional family pain marriage worrying  
"River Wild, The (1994)",action thriller rafting criminal estranged husband gang  
Speed (1994),action romance thriller bus bomb mini skirt police  
Speechless (1994),comedy romance speechwriter pun in title metaphoric title black comedy  
Timecop (1994),action sci-fi thriller time travel cult film based on comic female full frontal nudity  
True Lies (1994),action adventure comedy romance thriller secret agent spy secret mission remake  
When a Man Loves a Woman (1994),drama romance addiction airline pilot alcoholism self centeredness  
Wolf (1994),drama horror romance thriller werewolf publisher sense of smell manhattan new york city  
Wyatt Earp (1994),western arizona territory arizona wyatt earp character reference to arizona  
Bad Company (1995),action crime drama suspense male frontal nudity male full frontal nudity pubic hair  
"Man of No Importance, A (1994)",drama oscar wilde theatre ireland gay  
S.F.W. (1994),drama hostage television media escape  
"Low Down Dirty Shame, A (1994)",action comedy undressing african american los angeles california femme fatale  
Boys Life (1995),drama compilation of short films gay male in shower public shower  
"Colonel Chabert, Le (1994)",drama romance war year 1807 cavalry officer legal issue back from the dead  
Faster Pussycat! Kill! Kill! (1965),action crime drama nan  
Jason's Lyric (1994),crime drama texas male rear nudity topless female nudity sex scene  
"Secret Adventures of Tom Thumb, The (1993)",adventure animation child kidnapping eating an insect experiment psychotronic film  
Street Fighter (1994),action adventure fantasy campy street fighter man punches a woman time bomb  
Coldblooded (1995),comedy prostitute watching tv telephone call reception  
