title,year,rating
"Bag of Hammers, A",2011,4.0
Bait,2000,3.0
"Ballad of Jack and Rose, The",2005,4.0
Ballistic: Ecks vs. Sever,2002,2.25
Balls of Fury,2007,2.0
Balto,1995,3.6
Bambi 2,2006,1.75
Band Baaja Baaraat,2010,4.0
"Band Called Death, A",2012,3.0
"Band's Visit, The (Bikur Ha-Tizmoret)",2007,3.75
Bandidas,2006,2.5
Bandit Queen,1994,3.5
Bandits,2001,3.25
Bandslam,2009,3.0
"Bang Bang Club, The",2010,3.0
Bang Boom Bang - Ein todsicheres Ding,1999,4.0
"Bang, Bang, You're Dead",2002,4.0
"Banger Sisters, The",2002,2.5714285714285716
Bangkok Dangerous,2008,1.5
"Bank Job, The",2008,3.5
"Bank, The",2001,3.0
"Banshee Chapter, The",2013,2.0
Baraka,1992,4.25
Barb Wire,1996,2.4375
Barbara,2012,3.0
"Barbarian Invasions, The (Les invasions barbares)",2003,4.0
Barbershop,2002,2.857142857142857
Barbershop 2: Back in Business,2004,2.0
Barcelona,1994,3.5
Barefoot,2014,5.0
Barefoot (Barfuss),2005,2.5
Barfi!,2012,4.5
Barney's Great Adventure,1998,0.75
Barney's Version,2010,2.0
Barnyard: The Original Party Animals,2006,1.625
Barricade,2012,0.5
Barton Fink,1991,3.1875
Basic,2003,4.0
Basic Instinct,1992,2.9444444444444446
Basic Instinct 2,2006,2.25
"Basketball Diaries, The",1995,3.75
Basquiat,1996,3.875
Bastard Out of Carolina,1996,3.25
Batman & Robin,1997,2.5
Batman Begins,2005,2.888888888888889
Batman Forever,1995,2.75
Batman Returns,1992,2.75
Batman: Mask of the Phantasm,1993,3.2857142857142856
Bats,1999,2.0
Battle Royale (Batoru rowaiaru),2000,3.5
Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka),2003,2.75
Battle in Heaven (Batalla en el cielo),2005,3.0
Battle in Seattle,2007,2.25
"Battle of Shaker Heights, The",2003,2.6666666666666665
Battle: Los Angeles,2011,3.0
Battlefield Earth,2000,2.0
Battleship,2012,1.9
"Baxter, The",2005,3.0
"Baytown Outlaws, The",2012,4.5
Be Cool,2005,2.625
Be Kind Rewind,2008,3.0
"Beach, The",2000,3.0
Bean,1997,2.5
"Beans of Egypt, Maine, The",1994,3.0
Beastly,2011,2.625
Beasts of the Southern Wild,2012,3.5
"Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De)",2005,3.75
Beats Rhymes & Life: The Travels of a Tribe Called Quest,2011,3.0
Beaufort,2007,2.5
"Beautician and the Beast, The",1997,2.5
Beautiful,2000,2.0
Beautiful Boy,2010,4.0
"Beautiful Country, The",2004,4.0
Beautiful Creatures,2000,2.8333333333333335
Beautiful Creatures,2013,3.5
Beautiful Girls,1996,3.6666666666666665
Beautiful Kate,2009,2.0
"Beautiful Mind, A",2001,2.75
Beautiful People,1999,3.0
Beautiful Thing,1996,4.0
"Beautiful Troublemaker, The (La belle noiseuse)",1991,4.5
Beauty Is Embarrassing,2012,2.5
Beauty and the Beast,1991,2.75
"Beaver, The",2011,3.5
Beavis and Butt-Head Do America,1996,2.75
Bebe's Kids,1992,2.5
Because I Said So,2007,2.4166666666666665
Because of Winn-Dixie,2005,3.0
Becoming Jane,2007,3.5833333333333335
Bed of Roses,1996,2.857142857142857
Bedazzled,2000,2.625
Bedtime Stories,2008,2.75
Bee Movie,2007,2.25
Bee Season,2005,2.5
Beer League,2006,2.0
Beerfest,2006,3.1875
Beethoven,1992,2.3333333333333335
Beethoven's 2nd,1993,2.4375
Before I Disappear,2014,4.0
Before I Go to Sleep,2014,3.0
Before Midnight,2013,3.75
Before Night Falls,2000,3.75
Before Sunrise,1995,2.9375
Before Sunset,2004,2.888888888888889
Before and After,1996,4.0
Before the Devil Knows You're Dead,2007,3.75
Before the Fall (NaPolA - Elite für den Führer),2004,4.5
Before the Rain (Pred dozhdot),1994,3.5
Begin Again,2013,3.75
Beginners,2010,3.3
Behind Enemy Lines,2001,2.75
Behind the Candelabra,2013,3.0
Behind the Sun (Abril Despedaçado),2001,3.8333333333333335
Beijing Bicycle (Shiqi sui de dan che),2001,4.0
Being Elmo: A Puppeteer's Journey,2011,4.0
Being Human,1993,3.0
Being John Malkovich,1999,2.75
Being Julia,2004,4.333333333333333
Bela Kiss: Prologue,2013,1.0
"Believer, The",2001,3.3333333333333335
Bella,2006,3.25
Belle époque,1992,4.0
Bellflower,2011,2.5
Beloved,1998,2.8
Below,2002,3.25
Belphecor: Curse of the Mummy (Belphégor - Le fantôme du Louvre),2001,3.5
Ben X,2007,4.25
"Benchwarmers, The",2006,2.5
Bend It Like Beckham,2002,2.75
Benny & Joon,1993,3.25
Benny's Video,1992,3.6666666666666665
Bent,1997,4.0
Beowulf,2007,2.9285714285714284
Beowulf,1999,1.5
Berberian Sound Studio,2012,2.5
Bereavement,2010,2.5
Berlin Calling,2008,0.5
Bernie,2011,3.5
Berserk: The Golden Age Arc - The Egg of the King,2012,3.75
Berserk: The Golden Age Arc 2 - The Battle for Doldrey,2012,4.5
Besieged (a.k.a. L' Assedio),1998,2.6666666666666665
"Best Exotic Marigold Hotel, The",2011,3.0833333333333335
Best Laid Plans,1999,5.0
"Best Man Holiday, The",2013,3.0
"Best Man, The",1999,3.5
Best Men,1997,3.0
Best Worst Movie,2009,3.5
Best in Show,2000,3.0
"Best of Youth, The (La meglio gioventù)",2003,3.8333333333333335
Best of the Best 2,1993,2.75
Bethlehem,2013,2.5
Better Living Through Chemistry,2014,5.0
Better Luck Tomorrow,2002,3.5
Better Than Chocolate,1999,4.0
Better Than Sex,2000,3.5
Better This World,2011,3.5
Bettie Page Reveals All,2012,3.5
"Beverly Hillbillies, The",1993,2.5625
Beverly Hills Chihuahua,2008,2.0
Beverly Hills Cop III,1994,2.75
Beverly Hills Ninja,1997,2.25
Beware of Mr. Baker,2012,4.25
Bewitched,2005,2.625
Beyond (Svinalängorna),2010,4.0
Beyond Borders,2003,3.0
Beyond Outrage,2012,3.5
Beyond Rangoon,1995,3.5
Beyond Re-Animator,2003,3.3333333333333335
Beyond Silence (Jenseits der Stille),1996,4.5
Beyond a Reasonable Doubt,2009,3.5
Beyond the Black Rainbow,2010,4.5
Beyond the Clouds (Al di là delle nuvole),1996,5.0
Beyond the Lights,2014,5.0
Beyond the Mat,1999,3.25
Beyond the Sea,2004,1.5
Bhaag Milka Bhaag,2013,2.5
Bhaji on the Beach,1993,4.0
Bicentennial Man,1999,3.0
Big Bad Wolves,2013,3.0
"Big Bang, The",2011,3.5
"Big Bounce, The",2004,2.4166666666666665
Big Boys Gone Bananas!*,2011,4.0
Big Buck Bunny,2008,2.25
Big Bully,1996,3.5
Big Daddy,1999,2.75
Big Eden,2000,3.5
Big Eyes,2014,3.5
Big Fan,2009,3.0
Big Fat Liar,2002,2.0833333333333335
Big Fish,2003,3.0
Big Girls Don't Cry (Große Mädchen weinen nicht),2002,2.5
"Big Green, The",1995,2.625
Big Hero 6,2014,2.75
"Big Hit, The",1998,3.0714285714285716
"Big Kahuna, The",2000,3.2
"Big Lebowski, The",1998,2.75
Big Man Japan (Dai-Nihonjin),2007,3.75
Big Miracle,2012,2.5
Big Momma's House,2000,2.5555555555555554
Big Momma's House 2,2006,3.1
"Big Mommas: Like Father, Like Son",2011,2.0
Big Night,1996,3.5
Big Nothing,2006,3.0
"Big One, The",1997,3.75
"Big Picture, The (L'homme qui voulait vivre sa vie)",2010,4.5
"Big Squeeze, The",1996,2.0
Big Stan,2007,3.5
"Big Tease, The",1999,2.8333333333333335
Big Trouble,2002,3.5
"Big White, The",2005,4.0
"Big Year, The",2011,3.0
"Bigger, Stronger, Faster*",2008,5.0
Biker Boyz,2003,2.25
Bill & Ted's Bogus Journey,1991,3.0
Bill Burr: I'm Sorry You Feel That Way,2014,2.75
Bill Burr: Let It Go,2010,4.25
Bill Burr: Why Do I Do This?,2008,4.25
Bill Burr: You People Are All the Same,2012,5.0
